Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0096874,2016-04-06,2016-04-06,,Back to the Future Part II,https://www.imdb.com/title/tt0096874/,movie,7.8,108,1989,"Adventure, Comedy, Sci-Fi",508368,1989-11-20,Robert Zemeckis,,
2,tt0073195,2016-04-06,2016-04-06,,Jaws,https://www.imdb.com/title/tt0073195/,movie,8.0,124,1975,"Adventure, Thriller",571201,1975-06-20,Steven Spielberg,,
3,tt0112573,2016-04-06,2016-04-06,,Braveheart,https://www.imdb.com/title/tt0112573/,movie,8.3,178,1995,"Biography, Drama, History, War",999496,1995-05-18,Mel Gibson,,
4,tt0816711,2016-04-06,2016-04-06,,World War Z,https://www.imdb.com/title/tt0816711/,movie,7.0,116,2013,"Action, Adventure, Horror, Sci-Fi",635061,2013-06-02,Marc Forster,,
5,tt2024544,2016-04-06,2016-04-06,,12 Years a Slave,https://www.imdb.com/title/tt2024544/,movie,8.1,134,2013,"Biography, Drama, History",672980,2013-08-30,Steve McQueen,,
6,tt1024648,2016-04-06,2016-04-06,,Argo,https://www.imdb.com/title/tt1024648/,movie,7.7,120,2012,"Biography, Drama, Thriller",596705,2012-08-31,Ben Affleck,,
7,tt0790636,2016-04-06,2016-04-06,,Dallas Buyers Club,https://www.imdb.com/title/tt0790636/,movie,8.0,117,2013,"Biography, Drama",468132,2013-09-07,Jean-Marc Vallée,,
8,tt1454468,2016-04-06,2016-04-06,,Gravity,https://www.imdb.com/title/tt1454468/,movie,7.7,91,2013,"Action, Drama, Sci-Fi, Thriller",800080,2013-08-28,Alfonso Cuarón,,
9,tt2713180,2016-06-04,2016-06-04,,Fury,https://www.imdb.com/title/tt2713180/,movie,7.6,134,2014,"Action, Drama, War",458917,2014-10-15,David Ayer,,
10,tt0268380,2016-06-04,2016-06-04,,Ice Age,https://www.imdb.com/title/tt0268380/,movie,7.5,81,2002,"Animation, Adventure, Comedy, Family",463573,2002-03-12,"Chris Wedge, Carlos Saldanha",,
11,tt3682448,2016-06-21,2016-06-21,,Bridge of Spies,https://www.imdb.com/title/tt3682448/,movie,7.6,142,2015,"Drama, History, Thriller",302239,2015-10-04,Steven Spielberg,,
12,tt1343092,2016-07-29,2016-07-29,,The Great Gatsby,https://www.imdb.com/title/tt1343092/,movie,7.2,143,2013,"Drama, Romance",513314,2013-05-01,Baz Luhrmann,,
13,tt3460252,2017-05-12,2017-05-12,,The Hateful Eight,https://www.imdb.com/title/tt3460252/,movie,7.8,168,2015,"Crime, Drama, Mystery, Thriller, Western",562645,2015-12-07,Quentin Tarantino,,
14,tt0083944,2017-08-10,2017-08-10,,First Blood,https://www.imdb.com/title/tt0083944/,movie,7.7,93,1982,"Action, Adventure",241466,1982-10-22,Ted Kotcheff,,
15,tt3774114,2017-08-13,2017-08-13,,Snowden,https://www.imdb.com/title/tt3774114/,movie,7.3,134,2016,"Biography, Crime, Drama, Thriller",147514,2016-07-21,Oliver Stone,,
16,tt0075314,2017-09-18,2017-09-18,,Taxi Driver,https://www.imdb.com/title/tt0075314/,movie,8.2,114,1976,"Crime, Drama",774622,1976-02-08,Martin Scorsese,,
17,tt5013056,2017-09-26,2017-09-26,,Dunkirk,https://www.imdb.com/title/tt5013056/,movie,7.8,106,2017,"Action, Drama, History, Thriller, War",610513,2017-07-13,Christopher Nolan,,
18,tt0455275,2017-11-29,2017-11-29,,Prison Break,https://www.imdb.com/title/tt0455275/,tvSeries,8.3,44,2005,"Action, Crime, Drama, Mystery, Thriller",506172,2005-08-29,,,
19,tt0411008,2017-11-29,2017-11-29,,Lost,https://www.imdb.com/title/tt0411008/,tvSeries,8.3,44,2004,"Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",526519,2004-09-21,,,
20,tt0185906,2017-11-29,2017-11-29,,Band of Brothers,https://www.imdb.com/title/tt0185906/,tvMiniSeries,9.4,594,2001,"Drama, History, War",409327,2001-09-09,,,
21,tt4158110,2017-11-29,2017-11-29,,Mr. Robot,https://www.imdb.com/title/tt4158110/,tvSeries,8.5,49,2015,"Crime, Drama, Thriller",362890,2015-03-17,,,
22,tt0278238,2017-11-29,2017-11-29,,Samurai Jack,https://www.imdb.com/title/tt0278238/,tvSeries,8.5,25,2001,"Animation, Action, Adventure, Drama, Fantasy, Sci-Fi, Thriller",50043,2001-08-10,,,
23,tt1355642,2017-11-29,2017-11-29,,Hagane no renkinjutsushi,https://www.imdb.com/title/tt1355642/,tvSeries,9.1,24,2009,"Animation, Action, Adventure, Comedy, Drama, Fantasy, Sci-Fi",145614,2009-04-05,,,
